unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
UX-09,,look,back,1971,Non-binary,Bury Council,2022-02,group,2022-12-10,RPC,,2023-04-02,RPC,black,ZG154809C,ES,Migrant Help,No,,,,2018-07,2021-08,Entry level 2,Level 3-4,,No,,,could,No,ZHC,,92,Not in formal education,Renting - private sector,,,,,,,,,,,,,,,,,,,,,,,character,Self-employment,2023-01-01,CIH,,Don't know,39,formal education,day,start,,,,,,,,,,,
YL-89,,edge,talk,1991,Other,Hartlepool Borough Council,2022-05,,2022-11-12,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,Creation,2022-10-05,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI-19,management,meet,garden,1966,Prefer not to say,Rochdale Borough Council,2022-09,,2022-10-29,other,,,,,NS067968A,DK,Self-referrals,Yes,,,,2018-07,2021-07,Beyond Level 2,Below formal levels,,No,,,run,Yes,SE,,82,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-18,hot,play,month,1972,Other,Sandwell Council,2022-03,,2023-01-01,RLA,really,2023-07-16,other,,LL816465A,KG,Local VCS,No,,4,,2020-03,2021-10,Pre-entry,Level 1-2,,Yes,room,attorney,protect,Yes,ULA,8 to 15 hours,2,formal education,Homeless and rough sleeping,Statutory homelessness,,Creation,2023-02-09,tbc,tbc,tbc,no,6 month,2023-05-22,tbc,tbc,tbc,all,12 month,2023-11-22,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,can,2022-02-20,
LV-43,music,without,wide,1999,Other,North Tyneside Council,2022-05,maybe,2022-12-17,other,,2023-06-03,RPC,smile,PR019176B,BN,Self-referrals,Yes,,4,,2019-02,2021-07,Level 1,Level 3-4,,Yes,world,shoulder,strong,Yes,UNLA,8 to 15 hours,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,guy,Creation,2022-11-17,tbc,tbc,tbc,school,6 month,2023-05-18,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,opportunity,2022-05-23,free
TF-68,,future,hear,1982,Non-binary,Wigan Council,2021-12,baby,2022-12-13,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2023-02-24,tbc,tbc,tbc,mean,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-12-05,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,last,2022-06-25,big
SB-32,,social,such,1984,Woman,Newcastle City Council,2022-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Creation,2023-01-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-46,,fact,language,1977,Non-binary,Tameside Metropolitan Borough Council,2021-10,,2022-11-20,RLA,,,,,NS058359D,UA,Other,Yes,,0,Caring responsibilities for an adult,2019-05,2021-03,Entry level 2,Unknown,24,Yes,experience,training,recently,Don't know,Other,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2023-02-24,tbc,tbc,tbc,,6 month,2023-05-29,tbc,tbc,tbc,,,,,,,believe,2023-02-07,"employability, mentoring and/or coaching, work experience",,Self-employment,2023-02-21,TC,ZHC,31 to 48 hours,2,Not in formal education,investment,ball,,,,,,,,,,,
KJ-81,,necessary,decade,1964,Man,Sunderland City Council,2022-06,,2022-12-05,other,,2023-06-30,RLA,on,YX967786B,MA,Migrant Help,No,,,5-11,2017-11,2021-05,Below formal levels,Below formal levels,,Yes,economic,during,week,Yes,SE,0 to 7 hours,,formal education,Asylum accommodation,,,,,,,,,,,,,,,,,,,,,2023-03-09,"employability, qualifications or skills, training course, work experience",,Self-employment,2022-10-10,PC,,31 to 48 hours,1,formal education,leave,because,type,2023-10-26,PC,31 to 48 hours,69,formal education,page,create,,,
RQ-00,,important,near,1978,Man,Wolverhampton Council,2021-10,,,,,,,hit,BS234251D,PH,Self-referrals,No,,,,2017-11,2021-04,Level 1,Level 3-4,,No,,,up,Yes,SE,,47,formal education,Renting - Local authority or housing association,,fight,Creation,2022-12-16,tbc,tbc,tbc,involve,6 month,2023-05-07,tbc,tbc,tbc,,12 month,2023-12-11,tbc,tbc,tbc,,2023-04-25,"Internship, Registered business for self-employment, business plan for self-employment, employability, sector-specific language training",,Self-employment,2023-01-30,Other,CIH,49 or more hours,41,Not in formal education,either,style,wind,2023-06-30,ZHC,16 to 30 hours,76,formal education,language,authority,,,
RR-41,,concern,class,1974,Woman,Hartlepool Borough Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attention,Creation,2023-02-12,tbc,tbc,tbc,,6 month,2023-05-30,tbc,tbc,tbc,,,,,,,administration,2023-03-18,"Registered business for self-employment, Volunteering, sector-specific language training, work experience",opportunity,Self-employment,2023-01-18,ZHC,,49 or more hours,17,Not in formal education,along,car,,,,,,,,,,,
TF-16,four,despite,trade,1990,Prefer not to say,Bolton Council,2022-03,,2023-01-20,RLA,,2023-03-25,other,,WX447209D,MR,Migrant Help,No,,5,,2018-07,2021-01,Entry level 2,Level 1-2,,No,,,executive,Don't know,SE,Don't know,,Not in formal education,Renting - private sector,,,,,,,,,,,,,,,,,,,,,2023-01-20,"Internship, Volunteering, sector-specific language training, training course",,Employment,2023-02-21,CIH,,0 to 7 hours,55,formal education,arm,who,,2023-09-21,ZHC,49 or more hours,57,formal education,his,nearly,,,
OM-22,,general,crime,1976,Non-binary,Northumberland County Council,2022-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-24,tbc,tbc,tbc,,6 month,2023-06-03,tbc,tbc,tbc,,12 month,2023-11-24,tbc,tbc,tbc,,,,,Employment,2022-10-29,PC,,49 or more hours,71,formal education,morning,age,,,,,,,,,,,
HJ-27,expect,decision,hotel,2001,Non-binary,Birmingham City Council,2022-02,,2022-10-30,RLA,,2023-07-07,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2023-01-29,tbc,tbc,tbc,scientist,6 month,2023-05-08,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
EP-55,eight,score,condition,1991,Other,Middlesbrough Council,2021-11,,2023-01-04,RLA,,2023-08-25,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newspaper,2023-05-12,"another specified activity, training course, work experience",,Self-employment,2022-10-23,Other,,31 to 48 hours,22,Not in formal education,teach,music,under,2023-09-30,PC,0 to 7 hours,8,formal education,bag,action,good,2021-12-16,police
LD-31,,name,these,1970,Woman,Newcastle City Council,2021-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very,Creation,2022-12-17,tbc,tbc,tbc,five,6 month,2023-05-14,tbc,tbc,tbc,evidence,12 month,2023-12-18,tbc,tbc,tbc,area,2023-01-20,"business plan for self-employment, qualifications or skills, training course, work experience",,Self-employment,2022-10-24,PC,,8 to 15 hours,20,formal education,at,position,,2023-09-09,PC,8 to 15 hours,94,formal education,main,focus,,,
KL-58,feeling,score,wind,1981,Prefer not to say,Redcar and Cleveland Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bit,Creation,2022-12-19,tbc,tbc,tbc,,,,,,,,,,,,,,2023-02-22,"qualifications or skills, training course, work experience",modern,Employment,2022-10-13,CIH,,0 to 7 hours,95,Not in formal education,station,later,,2023-09-01,SE,31 to 48 hours,42,Not in formal education,look,give,,,
GR-88,,say,page,1976,Man,Birmingham City Council,2021-12,,,,,,,eye,SN109818B,LU,Home Office,Yes,7,7,,2017-11,2020-09,Below formal levels,Entry level,,Yes,skin,why,affect,No,TC,0 to 7 hours,,formal education,Homeless and rough sleeping,Non-statutory homelessness,floor,Creation,2022-09-26,tbc,tbc,tbc,,,,,,,,,,,,,,,,,Self-employment,2022-10-29,Other,,49 or more hours,45,formal education,true,quality,,,,,,,,,,,
GC-91,fall,his,PM,1959,Prefer not to say,Wolverhampton Council,2022-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-09,tbc,tbc,tbc,serious,6 month,2023-05-17,tbc,tbc,tbc,,12 month,2023-12-05,tbc,tbc,tbc,,,,,Self-employment,2023-02-01,CIH,Other,Don't know,59,formal education,happen,author,,,,,,,,,,2021-11-15,
IK-58,for,him,source,1961,Non-binary,Sunderland City Council,2022-01,,,,,,,,TW587635A,LA,Home Office,Yes,,,,2019-11,2021-09,Level 2,Level 1-2,,Yes,ago,either,test,No,SE,0 to 7 hours,,formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-08,
JG-84,real,mission,stage,1970,Other,Coventry City Council,2021-10,,,,,,,question,CK912299D,MW,DWP,No,3,5,,2018-12,2021-02,Level 1,Entry level,,Yes,him,west,pass,Don't know,UNLA,8 to 15 hours,81,formal education,Homeless and rough sleeping,Statutory homelessness,,,,,,,,,,,,,,,,,,,great,2023-01-14,"Internship, Volunteering, employability, mentoring and/or coaching",,Employment,2022-12-29,PC,,0 to 7 hours,83,formal education,half,same,man,2023-09-15,PC,16 to 30 hours,77,Not in formal education,place,position,,,
HW-30,claim,thus,question,1994,Non-binary,Oldham Council,2022-01,,,,,,,window,ML815293A,SD,DWP,Yes,2,,Caring responsibilities for an adult,2018-10,2021-10,Below formal levels,Unknown,21,No,,,sometimes,Yes,CIH,8 to 15 hours,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,civil,Creation,2022-10-16,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-15,
DD-34,,enter,receive,1971,Non-binary,Wigan Council,2021-10,size,2022-12-12,other,,2023-08-14,RLA,rock,XT317505B,GN,Local VCS,Yes,,,Caring responsibilities for an adult,2019-06,2021-10,Beyond Level 2,Level 5+,,Yes,response,wrong,notice,Yes,CIH,,,Not in formal education,Publicly funded temporary accommodation,,,Creation,2022-12-02,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQ-08,,hospital,challenge,1985,Non-binary,Sunderland City Council,2022-01,,2022-11-16,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,step,Creation,2022-10-08,tbc,tbc,tbc,,6 month,2023-05-27,tbc,tbc,tbc,raise,12 month,2023-12-13,tbc,tbc,tbc,,2023-02-28,"Registered business for self-employment, employability, mentoring and/or coaching, qualifications or skills, work experience",,Self-employment,2022-12-25,ZHC,,16 to 30 hours,28,Not in formal education,yourself,nor,,,,,,,,,,2021-12-13,work
FZ-46,,with,some,1990,Woman,Wolverhampton Council,2022-02,,2023-01-22,RPC,whether,2023-07-28,RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-31,"another specified activity, business plan for self-employment, employability, work experience",,Self-employment,2022-10-31,CIH,CIH,16 to 30 hours,56,Not in formal education,management,tree,,,,,,,,,,,
TF-80,part,result,south,1975,Prefer not to say,Trafford Council,2022-05,,2022-12-11,RPC,,,,,TN054981B,CW,DWP,Yes,,3,,2017-02,2020-06,Entry level 1,Level 3-4,,No,,,because,No,TC,,92,formal education,Asylum accommodation,,,Creation,2022-11-06,tbc,tbc,tbc,,,,,,,,,,,,,another,2023-02-17,"Registered business for self-employment, another specified activity, mentoring and/or coaching, qualifications or skills",effort,Employment,2023-01-15,ZHC,,16 to 30 hours,46,formal education,beat,manage,point,2023-09-29,ZHC,0 to 7 hours,35,Not in formal education,attack,pay,,,
NK-05,,product,open,1959,Woman,Birmingham City Council,2021-12,,2022-11-15,other,nor,2023-04-09,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,their,2023-06-08,"employability, qualifications or skills, training course",,Self-employment,2022-09-30,TC,ZHC,0 to 7 hours,61,Not in formal education,heart,agreement,,2023-09-10,PC,0 to 7 hours,78,formal education,thousand,sometimes,,,
DK-49,,sound,however,1983,Other,Plymouth City Council,2022-09,,,,,,,,XE616364B,EE,Local VCS,No,1,,,2018-02,2021-07,Entry level 2,Unknown,12,No,,,analysis,No,UNLA,,80,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,,,,,,,,,,,,,,,,,,,2023-01-26,"employability, mentoring and/or coaching, qualifications or skills",,Employment,2023-02-20,TC,,31 to 48 hours,23,Not in formal education,television,sell,,2023-08-15,ZHC,Don't know,69,Not in formal education,run,draw,,,
PW-08,,news,democratic,1997,Man,South Tyneside Council,2022-03,,,,,,,argue,YX667485D,BY,Other,No,3,7,,2020-01,2021-07,Level 2,Entry level,,No,,,discussion,No,TC,,26,Not in formal education,Other safe and secure accommodation,,occur,Creation,2023-02-02,tbc,tbc,tbc,find,6 month,2023-05-15,tbc,tbc,tbc,,,,,,,,,,success,Self-employment,2023-01-10,Other,,8 to 15 hours,95,formal education,program,moment,,,,,,,,,,,
SD-80,,free,federal,1958,Prefer not to say,Trafford Council,2022-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,Creation,2022-10-03,tbc,tbc,tbc,,,,,,,,,,,,,,2023-04-12,"Registered business for self-employment, Volunteering, employability, qualifications or skills",,Self-employment,2022-11-24,PC,ZHC,0 to 7 hours,20,formal education,she,where,,,,,,,,,,,
OX-30,,never,century,1990,Other,Redcar and Cleveland Council,2022-06,strategy,2022-12-19,RPC,,,,song,HR243621B,NG,Primary Care,Yes,,8,,2018-08,2022-01,Pre-entry,Level 1-2,,No,,,property,Don't know,ZHC,,,Not in formal education,Homeless and rough sleeping,Statutory homelessness,almost,Creation,2022-10-10,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QG-71,,show,foreign,1968,Other,Northumberland County Council,2022-03,,,,,,,,,MW,Home Office,Yes,3,,,2018-04,2021-06,Level 2,Level 5+,,No,,,road,Don't know,TC,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,American,Creation,2023-01-04,tbc,tbc,tbc,off,6 month,2023-05-25,tbc,tbc,tbc,,12 month,2023-12-11,tbc,tbc,tbc,manage,2023-04-12,"Internship, Registered business for self-employment, sector-specific language training, training course",,Employment,2023-01-14,Other,,0 to 7 hours,93,Not in formal education,produce,black,,2023-09-06,Other,Don't know,56,formal education,pay,lot,,,
FF-19,,marriage,never,2001,Other,Trafford Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-23,tbc,tbc,tbc,,6 month,2023-06-06,tbc,tbc,tbc,third,12 month,2023-11-24,tbc,tbc,tbc,,2023-05-10,"Registered business for self-employment, Volunteering, sector-specific language training",,Self-employment,2022-12-11,SE,Other,Don't know,67,Not in formal education,few,majority,summer,2023-10-15,Other,8 to 15 hours,8,Not in formal education,high,experience,,,
TA-34,,can,spring,1985,Other,Darlington Borough Council,2022-07,,,,,,,,TE454313B,NI,Other,Yes,2,0,,2019-01,2021-05,Level 2,Level 3-4,,Yes,mention,strategy,report,Yes,Other,,81,Not in formal education,Renting - private sector,,,Creation,2023-01-01,tbc,tbc,tbc,,6 month,2023-05-26,tbc,tbc,tbc,,12 month,2023-12-16,tbc,tbc,tbc,,2023-03-10,"Registered business for self-employment, another specified activity, employability",apply,Self-employment,2022-12-31,Other,TC,49 or more hours,0,formal education,true,act,also,2023-06-21,TC,31 to 48 hours,69,formal education,different,occur,,,
EK-45,attorney,wear,likely,1996,Woman,Oldham Council,2021-12,,,,,,,,BH681876D,TM,DWP,Yes,3,8,"0-4, Caring responsibilities for an adult",2018-07,2020-10,Level 1,Level 1-2,,No,,,too,Yes,SE,16 to 30 hours,,formal education,Publicly funded temporary accommodation,,,Creation,2022-11-14,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-12-05,tbc,tbc,tbc,,2023-03-01,"Registered business for self-employment, another specified activity, business plan for self-employment, qualifications or skills, sector-specific language training",fund,Employment,2022-11-26,TC,PC,0 to 7 hours,60,Not in formal education,front,maybe,,2023-10-10,TC,Don't know,52,Not in formal education,call,serious,,,
LM-45,,paper,suddenly,1984,Other,Gateshead Council,2021-10,win,2023-01-25,RLA,century,2023-06-17,RPC,maybe,HT344875C,GS,Other,Yes,,7,"11-17, 5-11",2019-06,2020-08,Level 1,Below formal levels,,Yes,late,economy,sell,Yes,Other,8 to 15 hours,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2023-01-25,tbc,tbc,tbc,,,,,,,,,,,,,catch,2023-03-30,"another specified activity, mentoring and/or coaching, work experience",for,Employment,2022-11-21,TC,Other,49 or more hours,75,formal education,my,wife,,,,,,,,,,2021-11-29,
CP-65,lose,mission,citizen,1996,Other,Bury Council,2022-08,,,,,,,,TG234978D,PH,LA,Yes,,5,,2017-08,2021-07,Entry level 2,Level 5+,,Yes,right,easy,value,Don't know,TC,Don't know,,Not in formal education,Homeless and rough sleeping,Statutory homelessness,,,,,,,,,,,,,,,,,,,,2023-05-13,"Registered business for self-employment, another specified activity, employability",,Self-employment,2023-02-13,CIH,SE,31 to 48 hours,43,formal education,call,month,left,2023-09-04,ZHC,8 to 15 hours,34,Not in formal education,than,may,,,
QW-76,,easy,fill,2001,Woman,North Tyneside Council,2022-07,,,,,,,expect,NL373747A,GG,LA,Yes,,7,0-4,2018-04,2021-02,Level 2,Level 1-2,,Yes,until,example,collection,Don't know,UNLA,,,formal education,Homeless and rough sleeping,Statutory homelessness,,Creation,2022-12-20,tbc,tbc,tbc,couple,6 month,2023-05-11,tbc,tbc,tbc,,12 month,2023-11-25,tbc,tbc,tbc,,2023-03-14,"Volunteering, business plan for self-employment, mentoring and/or coaching, qualifications or skills",,Self-employment,2022-12-26,Other,,0 to 7 hours,96,Not in formal education,coach,wear,,2023-07-24,CIH,Don't know,10,Not in formal education,already,despite,,,
YB-82,while,camera,share,1979,Other,Gateshead Council,2022-09,,,,,,,play,GY470883C,ME,LA,Yes,0,,,2017-07,2021-09,Pre-entry,Entry level,,No,,,white,Yes,TC,,37,formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,,2023-01-30,"Registered business for self-employment, business plan for self-employment, employability, training course",,Employment,2022-10-20,Other,,Don't know,97,formal education,election,party,,2023-09-21,CIH,0 to 7 hours,31,Not in formal education,ground,story,,,
ML-22,,something,particular,1977,Woman,Wigan Council,2022-02,,,,,,,since,,ID,Other Health,Yes,4,3,,2019-06,2020-10,Entry level 3,Unknown,13,No,,,friend,Don't know,ULA,,,Not in formal education,Renting - Local authority or housing association,,somebody,Creation,2022-10-17,tbc,tbc,tbc,trouble,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-12-17,tbc,tbc,tbc,,,,,Self-employment,2022-10-04,SE,,49 or more hours,90,Not in formal education,opportunity,land,,,,,,,,,,,
QJ-49,hospital,modern,perform,1995,Other,Hartlepool Borough Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,some,Employment,2022-12-21,CIH,CIH,31 to 48 hours,18,Not in formal education,American,music,,,,,,,,,,,
HV-19,mention,onto,staff,1995,Prefer not to say,Birmingham City Council,2022-06,,,,,,,,MG566808C,EG,HO providers,No,,,,2017-12,2021-09,Level 2,Below formal levels,,Yes,join,different,low,Yes,UNLA,,79,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,another,Creation,2022-10-09,tbc,tbc,tbc,,6 month,2023-05-15,tbc,tbc,tbc,cover,12 month,2023-12-20,tbc,tbc,tbc,,,,attention,Employment,2022-12-22,CIH,PC,8 to 15 hours,32,formal education,role,cost,,,,,,,,,,,
MF-80,,must,science,1982,Man,Bury Council,2021-10,,2022-10-28,RPC,,2023-06-10,RPC,,,FO,Migrant Help,Yes,,,0-4,2019-07,2021-01,Level 1,Unknown,15,Yes,forget,group,system,Don't know,UNLA,Don't know,0,formal education,Publicly funded temporary accommodation,,require,Creation,2023-01-02,tbc,tbc,tbc,,6 month,2023-05-31,tbc,tbc,tbc,,,,,,,,2023-03-02,"Volunteering, another specified activity, qualifications or skills, sector-specific language training",professor,Employment,2022-11-02,ZHC,ZHC,31 to 48 hours,86,formal education,tell,organization,,2023-09-02,ZHC,31 to 48 hours,36,Not in formal education,create,reveal,provide,2022-01-13,boy
UJ-70,,single,Republican,2003,Other,Gateshead Council,2022-05,,2023-01-20,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,case,Creation,2022-10-31,tbc,tbc,tbc,,,,,,,,,,,,,,2023-03-28,"Internship, Volunteering, mentoring and/or coaching, sector-specific language training",happen,Self-employment,2023-01-22,Other,SE,8 to 15 hours,11,Not in formal education,question,institution,,2023-07-18,TC,31 to 48 hours,44,formal education,court,under,,2022-02-26,help
HX-97,,course,case,1965,Woman,Sunderland City Council,2021-10,,2022-11-30,RLA,war,2023-04-04,other,,,,,,,,,,,,,,,,,,,,,,,,,vote,Creation,2022-11-16,tbc,tbc,tbc,,,,,,,,,,,,,ten,2023-02-25,"Registered business for self-employment, training course",more,Employment,2023-02-03,TC,,8 to 15 hours,45,Not in formal education,some,kind,meet,2023-09-29,ZHC,0 to 7 hours,72,Not in formal education,compare,budget,,,
SH-29,,skin,audience,1958,Non-binary,Middlesbrough Council,2022-08,,2022-11-10,other,,2023-04-08,RLA,picture,ZX800125A,AG,Other Health,No,4,,,2019-03,2021-03,Level 1,Unknown,23,No,,,well,Yes,UNLA,,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2022-11-29,tbc,tbc,tbc,,6 month,2023-05-27,tbc,tbc,tbc,form,12 month,2023-12-11,tbc,tbc,tbc,,,,,Self-employment,2022-11-28,SE,SE,8 to 15 hours,81,Not in formal education,nice,ready,,,,,,,,,,,
EU-00,,news,for,1957,Other,Newcastle City Council,2022-02,every,2022-12-18,RPC,,,,stock,LZ134110C,LV,Other Health,No,,,,2017-11,2021-06,Level 2,Entry level,,No,,,industry,Yes,ZHC,,,formal education,Renting - Local authority or housing association,,,Creation,2023-02-15,tbc,tbc,tbc,,,,,,,,,,,,,,2023-02-19,"Registered business for self-employment, employability, mentoring and/or coaching",decision,Self-employment,2022-09-26,Other,ZHC,16 to 30 hours,19,Not in formal education,already,kitchen,ever,2023-07-04,CIH,31 to 48 hours,66,Not in formal education,policy,gun,,,
LS-59,,recent,life,1987,Other,Trafford Council,2022-02,,,,,,,,MB298307C,AZ,LA,Yes,1,4,"11-17, Caring responsibilities for an adult",2019-02,2021-02,Pre-entry,Unknown,18,Yes,another,example,notice,No,ZHC,,99,Not in formal education,Renting - private sector,,,Creation,2022-11-11,tbc,tbc,tbc,,,,,,,,,,,,,sit,2023-03-30,"Internship, another specified activity, business plan for self-employment, mentoring and/or coaching",,Self-employment,2022-11-29,CIH,CIH,8 to 15 hours,23,formal education,stay,TV,,,,,,,,,,,
RN-99,,thing,rule,1996,Other,Rochdale Borough Council,2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anyone,Creation,2022-12-26,tbc,tbc,tbc,quality,6 month,2023-06-01,tbc,tbc,tbc,,,,,,,,2023-05-31,"Internship, qualifications or skills, sector-specific language training",,Employment,2023-01-14,SE,TC,49 or more hours,3,formal education,people,consider,management,2023-09-07,TC,31 to 48 hours,65,Not in formal education,morning,business,,2021-11-12,
ZF-11,,stock,perform,1996,Man,Stockport Metropolitan Borough Council,2022-01,available,2022-12-09,RPC,part,2023-07-25,RLA,,EW877945A,NC,LA,No,8,1,,2018-08,2021-09,Entry level 1,Level 5+,,No,,,near,Yes,ZHC,8 to 15 hours,76,Not in formal education,Renting - private sector,,,,,,,,,,,,,,,,,,,,,2023-04-01,"business plan for self-employment, employability, sector-specific language training, work experience",of,Self-employment,2023-01-15,PC,TC,Don't know,22,formal education,rule,stage,build,2023-09-27,SE,8 to 15 hours,2,formal education,whole,suggest,,,
FV-43,hear,know,sport,1998,Woman,Tameside Metropolitan Borough Council,2022-08,middle,2022-12-29,RPC,arrive,2023-04-10,other,,MX118626D,LS,DWP,No,7,,,2017-09,2021-10,Pre-entry,Level 3-4,,No,,,time,Yes,Other,31 to 48 hours,,Not in formal education,Other safe and secure accommodation,,because,Creation,2022-12-05,tbc,tbc,tbc,,6 month,2023-05-20,tbc,tbc,tbc,,12 month,2023-12-11,tbc,tbc,tbc,,2023-01-23,"Registered business for self-employment, Volunteering, another specified activity, training course",,Self-employment,2022-12-31,SE,,16 to 30 hours,100,Not in formal education,collection,he,,,,,,,,,,,
CW-58,meeting,discussion,stock,1978,Man,Sandwell Council,2022-02,,,,,,,,,SI,LA,No,,2,,2018-10,2020-09,Entry level 3,Level 5+,,No,,,plant,Don't know,ULA,,,formal education,Other safe and secure accommodation,,,Creation,2022-12-05,tbc,tbc,tbc,build,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-11-21,tbc,tbc,tbc,,2023-04-08,"Internship, employability, sector-specific language training",account,Self-employment,2022-11-27,SE,,49 or more hours,92,formal education,everyone,interview,,,,,,,,,,,
FV-77,mention,word,of,1966,Woman,Gateshead Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general,Creation,2022-12-23,tbc,tbc,tbc,,6 month,2023-05-31,tbc,tbc,tbc,,,,,,,image,2023-01-18,"Registered business for self-employment, Volunteering, another specified activity, business plan for self-employment",law,Employment,2022-12-21,ZHC,PC,31 to 48 hours,96,formal education,apply,through,,2023-10-25,PC,16 to 30 hours,61,Not in formal education,discover,democratic,,,
FN-77,,born,be,1973,Prefer not to say,Coventry City Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-18,tbc,tbc,tbc,,6 month,2023-05-21,tbc,tbc,tbc,,12 month,2023-12-05,tbc,tbc,tbc,,2023-04-07,"Volunteering, another specified activity, qualifications or skills",really,Self-employment,2022-12-04,PC,TC,31 to 48 hours,82,formal education,include,challenge,,2023-10-26,CIH,0 to 7 hours,77,Not in formal education,wonder,product,,,
